Order ID,Order Date,Customer Name,Customer Age,Customer City,Product Name,Category,Quantity Sold,Unit Price,Discount Percentage,Total Sales,Profit Margin (%),Profit,Payment Method,Order Status,Return Reason
8b5689b7,2023-08-08,Julia Wiggins,51,East Jamesborough,Car Battery,Automotive,3,3265.65,2.0,9601.01,16.11,1546.72,Credit Card,Returned,Customer Changed Mind
7683d925,2024-03-03,Elizabeth Davis,47,New Christopher,Monitor,Electronics,6,2992.67,19.74,14411.5,10.37,1494.47,Bank Transfer,Processing,N/A
4c60e176,2024-06-13,Heather Moore,18,Kaitlynberg,Smartwatch,Electronics,15,184.45,17.88,2272.06,20.97,476.45,Debit Card,Processing,N/A
dd269794,2022-09-27,Denise Smith,58,West Elizabethbury,Shoes,Clothing,13,3259.46,19.17,34250.08,17.51,5997.19,Credit Card,Cancelled,N/A
a0bb5c90,2023-09-07,Monica Villarreal,36,West Denise,Dress,Clothing,16,1623.9,13.18,22557.92,21.63,4879.28,Debit Card,Returned,Customer Changed Mind
08a27a9b,2023-05-04,Edward Bird,68,Brendaville,Brake Pads,Automotive,3,1106.02,0.84,3290.19,23.05,758.39,Cash,Delivered,N/A
f6120a0b,2024-10-01,Joshua Ward,21,North Michelle,Dining Table,Furniture,11,4359.14,25.17,35881.39,22.93,8227.6,Cash,Delivered,N/A
fcc45d95,2024-02-04,Gary Moss,70,Gonzaleston,Car Cover,Automotive,4,3738.02,16.38,12502.93,13.59,1699.15,Cash,Processing,N/A
6b66fc7c,2022-12-23,Cindy Brown,51,North Jeanette,Smartphone,Electronics,13,2175.71,13.43,24485.66,10.66,2610.17,Bank Transfer,Processing,N/A
9d12d70f,2022-10-25,Brooke Day,44,Smithtown,Brake Pads,Automotive,10,4753.7,19.19,38414.65,5.98,2297.2,Credit Card,Returned,Damaged Item
b905bb97,2023-07-24,Anthony Jenkins,66,Port Michael,Microwave,Home Appliances,19,1645.68,11.91,27543.91,12.29,3385.15,Debit Card,Shipped,N/A
bfad3024,2023-02-09,Kayla Hobbs,34,Murphyfurt,Bed,Furniture,5,4672.79,12.43,20459.81,21.39,4376.35,Debit Card,Shipped,N/A
da278372,2023-10-29,Pam Adams,41,South Philip,Engine Oil,Automotive,4,3103.57,9.24,11267.2,15.85,1785.85,PayPal,Cancelled,N/A
a699b82c,2022-12-04,Samantha Robinson,68,Pooleside,Monitor,Electronics,5,4021.11,4.15,19271.17,10.99,2117.9,PayPal,Cancelled,N/A
6d84313b,2024-01-20,Craig Soto,44,Atkinsmouth,Smartwatch,Electronics,1,2389.71,4.94,2271.66,19.52,443.43,Credit Card,Cancelled,N/A
223409e7,2023-12-20,Jennifer Campbell,61,Dustinfort,Jeans,Clothing,9,2018.54,29.1,12880.3,14.83,1910.15,Credit Card,Shipped,N/A
ec303d90,2022-08-25,Jodi Farley,41,Vincentbury,Vacuum Cleaner,Home Appliances,18,4105.09,16.51,61692.11,14.15,8729.43,Cash,Returned,Customer Changed Mind
c39b8582,2022-08-20,Christopher Hendricks,75,Arnoldchester,Tablet,Electronics,3,698.77,27.61,1517.52,15.9,241.29,Debit Card,Processing,N/A
46c8d8e5,2023-01-23,Kimberly Bradley,50,East Emilyville,Car Battery,Automotive,11,1592.66,27.93,12626.13,16.23,2049.22,Debit Card,Returned,Damaged Item
a9f735e2,2024-11-26,Russell Blevins,58,West Jason,Brake Pads,Automotive,12,1659.63,22.73,15388.75,20.43,3143.92,Bank Transfer,Processing,N/A
6eb11ec3,2024-09-06,Elizabeth Williams,28,Williamsfurt,Car Cover,Automotive,4,635.36,12.57,2221.98,12.22,271.53,Cash,Processing,N/A
f717ded0,2024-02-20,Jonathon Schmidt,24,West Brentchester,Tablet,Electronics,2,448.06,17.59,738.49,21.8,160.99,Bank Transfer,Delivered,N/A
85a312ed,2023-04-28,Kim Torres,46,Lake Lindsay,Smartwatch,Electronics,20,832.9,14.1,14309.22,7.82,1118.98,PayPal,Shipped,N/A
bc80654e,2023-07-30,Philip Snow,18,New Christopherview,T-shirt,Clothing,15,3713.52,28.99,39554.56,16.18,6399.93,Credit Card,Processing,N/A
65123f68,2024-07-08,Amanda Huang,39,Nathanfort,Car Cover,Automotive,3,2235.99,11.09,5964.06,11.49,685.27,Credit Card,Returned,Defective Product
0b7ecfa2,2023-08-27,Caleb Brooks,40,Dakotabury,Smartwatch,Electronics,9,4911.48,20.81,35004.61,14.74,5159.68,Bank Transfer,Cancelled,N/A
3954e031,2023-05-13,Jordan Skinner,55,Johnfurt,Smartphone,Electronics,1,1835.85,20.48,1459.87,11.68,170.51,Credit Card,Returned,Customer Changed Mind
c74947f1,2023-02-17,Jennifer Dudley,34,Rhondastad,Refrigerator,Home Appliances,1,4729.47,10.74,4221.52,13.29,561.04,Bank Transfer,Shipped,N/A
13fbe089,2022-12-13,Charles Morris Jr.,21,Jasonhaven,Jeans,Clothing,7,3935.59,9.48,24937.47,11.29,2815.44,Cash,Cancelled,N/A
8b297373,2022-06-23,William Lawrence,25,Fowlerview,Shoes,Clothing,16,1617.69,9.35,23462.98,24.97,5858.71,Cash,Returned,Wrong Item
62c5916a,2022-11-09,Ashley Black,18,North Sarachester,Tablet,Electronics,19,1185.7,4.29,21561.84,12.0,2587.42,PayPal,Returned,Defective Product
e633da94,2023-01-08,Laura Ross,59,New Albertport,Tires,Automotive,3,3557.82,9.1,9702.18,18.45,1790.05,Bank Transfer,Processing,N/A
12332beb,2023-04-28,Michael York,54,Port Shannonside,Car Cover,Automotive,7,1124.14,5.18,7461.37,7.32,546.17,Debit Card,Returned,Customer Changed Mind
4539130a,2022-05-03,Christy Dawson,69,Port Peterburgh,Tablet,Electronics,9,2746.58,4.42,23626.63,8.16,1927.93,Debit Card,Returned,Damaged Item
13d44e10,2023-07-12,Erica Burns,70,South Sarabury,Jacket,Clothing,14,213.7,6.68,2791.95,5.14,143.51,PayPal,Delivered,N/A
bafd469d,2024-12-04,Stacey Hill,35,Port Stephenport,Microwave,Home Appliances,12,3750.94,28.5,32183.07,23.23,7476.13,Credit Card,Processing,N/A
cdb6a0bb,2023-06-22,Jill Coleman,68,Robertsmouth,Jeans,Clothing,6,391.3,1.08,2322.44,16.46,382.27,Debit Card,Cancelled,N/A
81fa6ffa,2024-05-02,Joseph Clark,57,South Daniel,Jacket,Clothing,17,1259.73,26.77,15682.5,18.72,2935.76,Debit Card,Returned,Damaged Item
0cb78973,2024-08-07,Sergio Perez,46,Michaelchester,Washing Machine,Home Appliances,15,1645.4,29.31,17447.0,7.99,1394.02,Debit Card,Shipped,N/A
e88bb951,2023-11-27,Troy Jackson,69,Port Jonathonton,Jacket,Clothing,13,3606.82,10.52,41955.97,22.58,9473.66,Cash,Processing,N/A
95a4f31c,2023-04-14,Jessica Green,28,West Jason,Sofa,Furniture,6,4048.64,4.07,23303.16,15.05,3507.13,Credit Card,Returned,Defective Product
11597e59,2024-04-20,Krista Miller,44,West Joshua,Desk,Furniture,18,3627.26,25.48,48654.61,9.32,4534.61,Credit Card,Processing,N/A
4a5eae4e,2023-02-12,Katie Espinoza,63,Lucastown,Laptop,Electronics,13,4921.95,18.97,51847.33,8.89,4609.23,PayPal,Cancelled,N/A
9ae4846e,2023-05-07,Bryan Armstrong,64,East Ricky,Smartwatch,Electronics,15,1782.18,7.74,24663.59,8.61,2123.54,Bank Transfer,Cancelled,N/A
4ca457e2,2023-10-08,Reginald Phillips,54,South Michael,Washing Machine,Home Appliances,16,605.68,15.3,8208.18,22.14,1817.29,PayPal,Returned,Defective Product
e5560ac1,2023-10-15,Alyssa Burch,73,East Jessicafort,Car Battery,Automotive,20,947.32,18.68,15407.21,16.96,2613.06,Bank Transfer,Cancelled,N/A
931fe1bc,2022-05-12,Russell Hughes,60,Francesmouth,Engine Oil,Automotive,16,2595.51,6.03,39024.01,19.2,7492.61,Credit Card,Shipped,N/A
f9b18409,2022-08-01,George Bonilla,22,South Emilyport,Car Battery,Automotive,20,4600.27,17.88,75554.83,8.58,6482.6,PayPal,Delivered,N/A
52b99c1f,2023-03-12,Eric Hernandez,65,Lake Danielstad,Jeans,Clothing,5,2558.67,22.68,9891.82,15.84,1566.86,Debit Card,Processing,N/A
c2fb28fa,2023-02-01,Sarah Barnes,57,New Ericbury,Microwave,Home Appliances,6,530.43,29.17,2254.22,17.06,384.57,Credit Card,Shipped,N/A
b4cd4f36,2024-06-22,Cheryl Strickland,37,Grantburgh,Refrigerator,Home Appliances,6,4307.86,4.21,24758.99,5.84,1445.93,Debit Card,Returned,Customer Changed Mind
65a9e643,2024-05-03,Kathryn Carter,54,Adamton,Smartphone,Electronics,19,4534.74,7.02,80111.62,20.3,16262.66,Debit Card,Returned,Defective Product
dce49c43,2023-09-19,Jessica Andersen,26,Danielburgh,Smartphone,Electronics,9,3192.37,23.79,21896.15,14.14,3096.12,Cash,Cancelled,N/A
790d8795,2024-10-05,Heather Vasquez,31,East Gregoryfurt,Desk,Furniture,3,4144.07,15.93,10451.76,9.66,1009.64,Bank Transfer,Cancelled,N/A
66608c42,2024-09-15,Amanda Smith,40,North Abigail,Jacket,Clothing,19,4148.12,13.52,68158.59,8.93,6086.56,Bank Transfer,Delivered,N/A
05a2f608,2025-01-07,Dean Harvey,36,Port Lori,Refrigerator,Home Appliances,17,4478.36,24.23,57685.31,15.94,9195.04,Debit Card,Returned,Damaged Item
51141d78,2022-07-19,April Wilson,23,Robertsonland,Tires,Automotive,2,479.21,10.62,856.64,12.07,103.4,Bank Transfer,Cancelled,N/A
9fdafd9c,2023-02-03,Christopher Pierce MD,44,Lake Jennytown,Desk,Furniture,1,2155.36,0.75,2139.19,10.07,215.42,Bank Transfer,Delivered,N/A
c5b9952f,2022-09-20,Deborah Trevino,58,East Phillipland,Jacket,Clothing,19,1698.48,14.95,27446.59,7.85,2154.56,PayPal,Returned,Customer Changed Mind
a19bda23,2024-09-06,Kaylee Snyder,69,West Nancy,Monitor,Electronics,11,3301.72,6.98,33783.86,14.22,4804.06,PayPal,Shipped,N/A
d682959c,2022-11-12,Kathleen Miller,54,Port Sheriside,Chair,Furniture,14,982.59,21.92,10740.89,24.71,2654.07,Cash,Shipped,N/A
d6b25af1,2022-12-11,Melissa Russell,34,Erinland,Shoes,Clothing,8,2291.25,25.16,13718.17,17.11,2347.18,Credit Card,Cancelled,N/A
6332cf68,2024-01-30,Corey Brady,64,Edwardfort,Bed,Furniture,4,1853.52,1.83,7278.4,17.17,1249.7,Cash,Shipped,N/A
6bff5e7a,2022-11-20,Janice Wagner,67,Brookeport,Tires,Automotive,16,723.92,21.74,9064.64,21.56,1954.34,Bank Transfer,Delivered,N/A
9b49bc10,2023-07-26,John Fernandez,23,Michelebury,Smartwatch,Electronics,11,2150.2,5.42,22370.25,9.12,2040.17,Debit Card,Shipped,N/A
7503ae84,2024-01-28,Danny Williams,41,Crystalburgh,Jeans,Clothing,12,887.16,6.29,9976.29,19.01,1896.49,Bank Transfer,Returned,Customer Changed Mind
49081aca,2024-05-05,Aaron Fowler,66,Davidside,Chair,Furniture,9,2385.11,20.92,16975.3,21.89,3715.89,PayPal,Returned,Customer Changed Mind
bb01a0af,2024-10-04,Nathan Taylor,38,Lake John,Car Cover,Automotive,7,4356.68,6.76,28435.18,12.11,3443.5,Debit Card,Delivered,N/A
a75c66c9,2023-08-27,Francis Wheeler,18,Port Sandystad,Sofa,Furniture,3,466.23,14.8,1191.68,17.31,206.28,PayPal,Returned,Customer Changed Mind
8146c91b,2023-01-15,Stephen Dodson,34,North Gregory,Bed,Furniture,5,3782.0,22.06,14738.45,16.27,2397.95,Debit Card,Returned,Defective Product
